ingredient_a,ingredient_b,reason,notice_no,product_rows
iobitridol,lobeglitazone,기능적 신부전에 의해 유산 산성증 촉진,20200061,80
dapagliflozin anhydrous lactose mixture,iobitridol,기능적 신부전에 의해 유산 산성증 촉진,20200061,120
letermovir,pimozide,"QT 연장, 심실성 빈맥, 심실세동 및 torsades de pointes 등 심독성위험 증가",20200130,4
adefovir dipivoxil,lamivudine,뉴클레오시드 유사체 단독투여 또는 다른 항레트로바이러스제를 병용투여했을 때 치명적인 사례를 포함한 유산산증과 지방증을 동반한 중증 간비대가 보고됨,20220049,7
carbamazepine,lamivudine,Doravirine의 혈장 농도가 감소하여 Doravirine의 치료 효과가 줄어들 수 있음,20250086,10
doravirine,oxcarbazepine,Doravirine의 혈장 농도가 감소하여 Doravirine의 치료 효과가 줄어들 수 있음,20250086,14
etoricoxib,methotrexate,신세뇨관에서 메토트렉세이트의 배설이 지연되어 치명적인 메토트렉세이트의 혈액학적 독성이 증가될 수 있음,20160155,162
benserazide,haloperidol,Levodopa의 치료효과 감소,20190131,96
agomelatine,ciprofloxacin,아고멜라틴 혈중농도 증가,20150021,105
iomeprol,pioglitazone,기능성 신부전에 의한 유산산성증 촉진,20110188,221
etodolac,ketorolac tromethamine,중증의 위장관계 이상반응,20050017,50
acitretin,alitretinoin,비타민A과다증,20250046,17
clarithromycin,mizolastine,심실부정맥(Torsade de pointes),20040002,177
spironolactone,tacrolimus,고칼륨혈증,20080056,90
arsenic trioxide,domperidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,51
itraconazole,nanoliposomal irinotecan,"골수억제 및 설사 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20190131,74
gliclazide,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20110188,127
omidenepag isopropyl,timolol,"중등도 이상의 눈부심, 홍채염 등의 안염증이 유발될 우려가 있음",20220049,4
cyclosporine,gemigliptin,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,45
pirfenidone,rifampicin,Pirfenidone의 혈중농도가 유의하게 감소할 수 있음,20230083,54
pibrentasvir,simvastatin,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,20200130,109
gilteritinib,rifampicin,Gilteritinib의 혈장 농도 감소,20250086,8
cabozantinib s-malate,pyrazinamide,Cabozantinib의 혈장 노출 감소,20250086,3
ethyl esters of the iodised fatty acids of poppyseed oil,pioglitazone,기능성 신부전에 의한 유산산성증 촉진,20110188,34
omega-3-acid ethyl esters90,sofosbuvir,횡문근융해증을 포함한 근육병증 위험 증가 가능,20230083,15
alogliptin,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,72
haloperidol decanoate,perphenazine,QT간격 연장 위험 증가,20190131,2
benserazide,haloperidol decanoate,Levodopa의 치료효과 감소,20190131,8
rasagiline,safinamide,고혈압 위기,20250086,27
iobitridol,vildagliptin,기능성 신부전에 의한 유산산성증 촉진,20110188,216
diphenylhydantoin,ledipasvir,레디파스비르 및 소포스부비르 혈장 농도를 현저히 떨어뜨려 이 약의 치료  효과를 감소시킬 수 있음,20170086,3
ioversol,rosuvastatin,기능적 신부전에 의해 유산 산성증 촉진,20200061,60
atorvastatin,iopromide,기능적 신부전에 의해 유산 산성증 촉진,20200061,81
finerenone,itraconazole,"Finerenone의 혈중농도 증가로 인한 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20240030,148
darunavir ethanolate,finerenone,Finerenone 혈중농도의 현저한 증가가 예상됨,20240030,2
glibenclamide,iopromide,기능성 신부전에 의한 유산산성증 촉진,20110188,36
irinotecan,isoniazid,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20250086,38
mizolastine,roxithromycin,"말초혈관경련, 사지허혈, 감각이상등",20040002,65
domperidone,oxatomide,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,17
benserazide,metoclopramide,레보도파 효과 감소,20240466,32
acitretin,minocycline,두개내압 증가,20070030,3
amiloride,tacrolimus,고칼륨혈증,20080056,30
amlodipine camsylate,cyclosporine,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,90
pimozide,roxithromycin,심실부정맥(Torsades de pointes 포함)등의 심혈관계 이상반응,20080056,65
potassium,spironolactone,고칼륨혈증,20100278,18
levodopa,metoclopramide,레보도파 효과 감소,20240466,116
iobitridol,pioglitazone,기능성 신부전에 의한 유산산성증 촉진,20110188,136
ioversol,pioglitazone,기능성 신부전에 의한 유산산성증 촉진,20110188,170
domperidone,ziprasidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,68
domperidone,prucalopride,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,272
ibrutinib,itraconazole,"Ibrutinib의 혈중 농도 증가, 항암제 관련 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 권장하지 않음",20250086,74
dronedarone,phenobarbital,Dronedarone 노출량 감소,20250046,6
amitriptyline,dronedarone,Torsade de pointes 위험 증가,20110110,10
ketorolac tromethamine,piroxicam β-cyclodextrin,중증의 위장관계 이상반응,20080068,10
calcium,cobicistat,아타자나비르의 혈중농도 감소,20230045,18
rivaroxaban,voriconazole,리바록사반의 혈중농도가 상승하여 출혈위험 증가,20150021,292
furosemide,netilmicin,신독성 및 청각독성증강,20100278,48
domperidone,mizolastine,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,17
elvitegravir,ezetimibe,횡문근융해를 포함한 근육병증 위험 가능,20230083,55
tolvaptan,voriconazole,Tolvaptan의 혈장 농도 증가 가능,20240030,8
carbamazepine,palbociclib,팔보시클립의 혈장 농도 감소,20180088,90
lorlatinib,rifampicin,Lorlatinib의 혈중농도를 감소시킬 수 있음. 총 빌리루빈과 알칼리인산분해효소의 증가 없이 AST와 ALT의 증가와 연관 있음,20240030,12
nirmatrelvir,rivaroxaban,출혈 위험의 증가,20250046,146
nirmatrelvir,ticagrelor,Ticagrelor의 혈중농도를 증가시킬 수 있음,20250046,10
ritonavir,silodosin,실로도신의 혈중농도 증가,20150021,20
sofosbuvir,valsartan,횡문근융해증을 포함한 근육병증 위험 증가 가능,20230083,49
capecitabine,gimeracil,"해당 약물 병용 시 gimeracil에 의해 fluoropyrimidine 계열 약물의 대사가 감소하여 항암제의 독성이 증가, gimeracil/oteracil/tegafur 투여 중 및 종료 후 7일 간 해당 성분 투여 금기",20200130,20
choline fenofibrate,cyclosporine,신기능 악화를 수반하는 횡문근융해증 발현 가능,20230083,60
itraconazole,tolvaptan sd powder,"Tolvaptan의 혈중농도 증가로 인한 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 권장하지 않음.",20150021,148
lithium,sumatriptan,세로토닌 증후군,20050017,28
amantadine,chlorpromazine,항콜린 작용 증가,20080056,8
candesartan cilexetil,ledipasvir,횡문근융해증을 포함한 근육병증 위험 증가 가능,20230083,45
fluoxetine,pimozide,QT 간격 연장,20090300,105
haloperidol,levomepromazine,QT간격 연장 위험 증가,20190131,36
chlorpromazine,haloperidol,QT간격 연장 위험 증가,20190131,48
paroxetine,selegiline,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",20040002,25
methylphenidate,selegiline,고혈압성 위기(현저한 혈압상승),20070030,13
amisulpride,pramipexole dihydrochloride,길항작용,20110070,250
atomoxetine,selegiline,"고열, 경직, 간대성근경련, 정신상태 변화 등",20100125,18
rasagiline,tapentadol,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등) 위험 증가 가능성",20160155,108
dabigatran etexilate,itraconazole,"다비가트란의 혈중농도가 상승하여 출혈위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20150021,148
carbamazepine,ceritinib,Ceritinib의 혈장 농도 감소,20250086,10
ondansetron,ribociclib,QT 간격 연장을 유발할 수 있음,20250086,22
atorvastatin,iobitridol,기능적 신부전에 의해 유산 산성증 촉진,20200061,72
adefovir dipivoxil,doravirine,뉴클레오시드 유사체 단독투여 또는 다른 항레트로바이러스제를 병용투여했을 때 치명적인 사례를 포함한 유산산증과 지방증을 동반한 중증 간비대가 보고됨,20220049,7
phenobarbital,tenofovir disoproxil,Doravirine의 혈장 농도가 감소하여 Doravirine의 치료 효과가 줄어들 수 있음,20250086,3
doravirine,enzalutamide,Doravirine의 혈장 농도가 감소하여 Doravirine의 치료 효과가 줄어들 수 있음,20250086,14
duloxetine,selegiline,세로토닌 증후군 위험 증가 가능성,20160155,36
ketorolac tromethamine,piroxicam,중증의 위장관계 이상반응,20080068,140
darunavir ethanolate,domperidone,"강력한 CYP억제제가 돔페리돈의 대사를 감소시켜, 돔페리돈의 영향(이상반응 포함) 증대 가능성",20150090,34
bupropion,selegiline,bupropion의 급성독성 증가,20080056,10
ethyl esters of the iodised fatty acids of poppyseed oil,vildagliptin,기능성 신부전에 의한 유산산성증 촉진,20110188,60
brigatinib,phenytoin,Brigatinib의 혈장 농도를 감소시킬 수 있음,20250086,6
isotretinoin,minocycline,테트라사이클린 가성뇌종양 보고,20040002,42
carbamazepine,zanubrutinib,Zanubrutinib의 혈중농도를 감소시켜 유효성을 감소시킬 수 있음,20250046,10
haloperidol decanoate,levofloxacin,QT간격 연장 위험 증가,20190131,132
molsidomin,sildenafil,혈압강하작용 증강,20070030,182
isosorbide mononitrate,sildenafil,혈관확장작용 증가로 저혈압 효과 상승,20070030,637
fluoxetine,safinamide,세로토닌 증후군,20250086,105
gemigliptin,iomeprol,기능적 신부전에 의해 유산 산성증 촉진,20200061,65
elvitegravir,rifabutin,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,20190131,1
simvastatin,tenofovir alafenamide,"Simvastatin 혈중농도 증가, 횡문근융해를 비롯한 근육병증",20190131,109
blonanserin,emtricitabine,Blonanserin 혈중농도 증가,20190131,9
elvitegravir,fosphenytoin,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,20190131,2
alfuzosin,tenofovir alafenamide,Alfuzosin 혈중농도 증가,20190131,18
emtricitabine,lamivudine,"라미부딘이 엠트리시타빈의 세포내 인산화를 저해할 수도 있음. 동일한 역전사효소 유전자(M184V) 변이를 통해 바이러스 내성 기전이 일어나므로, 병용 시 치료 효과가 제한적일 수 있음",20220049,22
domperidone,posaconazole,"강력한 CYP억제제가 돔페리돈의 대사를 감소시켜, 돔페리돈의 영향(이상반응 포함) 증대 가능성",20150090,34
fexuprazan,rilpivirine,위 내 pH 증가로 인한 Rilpivirine의 생체이용률 감소,20250086,8
metronidazole,mizolastine,심실부정맥(Torsade de pointes),20040002,6
isosorbide dinitrate,sildenafil,혈관확장작용 증가로 저혈압 효과 상승,20070030,273
anagrelide,domperidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,85
praziquantel,rifampicin,Praziquantel의 치료적 유효 혈중농도에 도달하지 못할 수 있음,20250086,8
calcium,digoxin,"Digoxin의 작용 증강으로 인한 디기탈리스 중독(서맥, 심실성기외수축, 방실블록 등) 위험 증가",20250086,15
cyclosporine,fenofibric acid,신기능 악화를 수반하는 횡문근융해증 발현 가능,20230083,30
domperidone,dronedarone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,34
methotrexate,nitrous oxide,"엽산 의존 대사 경로에서 구내염, 골수억제 및 신경독성과 같은 독성을 잠재적으로 유발하는 메토트렉세이트의 효과 증가",20190041,18
fentanyl,lorlatinib,Fentanyl의 혈중농도가 감소될 수 있음,20240030,158
clopidogrel bisulfate,ritonavir,Clopidogrel 활성대사체의 농도를 감소시킬 수 있음,20250046,127
ritonavir,salmeterol xinafoate,"Fluticasone의 혈중농도 증가로 쿠싱증후군 및 부신억제와 같은 전신 코르티코스테로이드 효과 나타날 수 있음. Salmeterol의 혈중농도 증가로 QT연장, 심계항진 등 심혈관계 이상반응 위험 증가",20250046,12
alfuzosin,ritonavir,저혈압의 가능성,20250046,18
5-fluorouracil,tegafur,"해당 약물 병용 시 gimeracil에 의해 fluoropyrimidine 계열 약물의 대사가 감소하여 항암제의 독성이 증가, gimeracil/oteracil/tegafur 투여 중 및 종료 후 7일 간 해당 성분 투여 금기",20200130,12
emtricitabine,zidovudine,"라미부딘이 엠트리시타빈의 세포내 인산화를 저해할 수도 있음. 동일한 역전사효소 유전자(M184V) 변이를 통해 바이러스 내성 기전이 일어나므로, 병용 시 치료 효과가 제한적일 수 있음",20220049,5
cabotegravir,carbamazepine,Cabotegravir의 혈중농도를 감소시켜 치료 효과를 감소시킬 수 있음,20240030,10
chlorpromazine,epinephrine,혈압강하,20080056,24
dapagliflozin citric acid,ethyl esters of the iodised fatty acids of poppyseed oil,기능적 신부전에 의해 유산 산성증 촉진,20200061,72
domperidone,moxifloxacin,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,187
atazanavir,omeprazole,아타자나비르의 혈중농도 감소,20230045,40
gemigliptin,iobitridol,기능적 신부전에 의해 유산 산성증 촉진,20200061,40
enavogliflozin,iopamidol,기능적 신부전에 의해 유산 산성증 촉진,20200061,156
carbamazepine,tenofovir disoproxil,Doravirine의 혈장 농도가 감소하여 Doravirine의 치료 효과가 줄어들 수 있음,20250086,10
lamivudine,phenobarbital,Doravirine의 혈장 농도가 감소하여 Doravirine의 치료 효과가 줄어들 수 있음,20250086,3
olmesartan medoxomil,sofosbuvir,횡문근융해증을 포함한 근육병증 위험 증가 가능,20230083,20
ozanimod,selegiline,Ozanimod의 노출을 감소시킬 수 있음,20250046,1
degarelix,domperidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,34
gliclazide,iopamidol,기능성 신부전에 의한 유산산성증 촉진,20110188,52
gliclazide,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,12
burosumab,calcitriol,고인산혈증 발생 가능,20250086,21
naratriptan,selegiline,"동맥 고혈압, 관상동맥 수축의 위험이 있음",20250086,6
methylergonovine,sumatriptan,"상가적인 혈관수축반응, 현저한 혈압상승",20070068,7
cabozantinib s-malate,phenobarbital,Cabozantinib의 혈장 노출 감소,20250086,9
diluted nitroglycerin,ergotamine,"맥각독성(말초허혈, 감각이상, 구역, 구토) 위험 증가",20170086,8
iopamidol,saxagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,104
iodixanol,rosuvastatin,기능적 신부전에 의해 유산 산성증 촉진,20200061,72
enavogliflozin,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,36
haloperidol decanoate,levodopa,Levodopa의 치료효과 감소,20190131,29
safinamide,tramadol,"중추신경계, 호흡기, 심혈관기능에 대해 생명을 위협하는 약물상호작용이 관찰됨. 세로토닌 증후군이 보고됨",20250086,33
dapagliflozin bis,iomeprol,기능적 신부전에 의해 유산 산성증 촉진,20200061,156
enavogliflozin,iomeprol,기능적 신부전에 의해 유산 산성증 촉진,20200061,39
blonanserin,cobicistat,Blonanserin 혈중농도 증가,20190131,9
ioversol,saxagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,20
diphenylhydantoin,finerenone,Finerenone 혈중농도의 현저한 감소 및 치료효과 감소가 예상됨,20240030,6
ethyl esters of the iodised fatty acids of poppyseed oil,glibenclamide,기능성 신부전에 의한 유산산성증 촉진,20110188,8
amlodipine camsylate,sofosbuvir,횡문근융해증을 포함한 근육병증 위험 증가 가능,20230083,6
divalproex sodium particle,imipenem,간질 발작 재발,20090300,7
doripenem,sodium valproate,발프론산의 혈중농도를 감소시켜 간질발작 재발의 위험 증가,20150021,12
amiloride,potassium,고칼륨혈증 위험 증가,20100246,7
5-fluorouracil,oteracil,"해당 약물 병용 시 gimeracil에 의해 fluoropyrimidine 계열 약물의 대사가 감소하여 항암제의 독성이 증가, gimeracil/oteracil/tegafur 투여 중 및 종료 후 7일 간 해당 성분 투여 금기",20200130,12
epinephrine,formoterol,부정맥 또는 심정지 유도,20080056,6
rasagiline,st john's wort 80% methanol ext,"고혈압위기, 세로토닌증후군 발생 위험 증가",20150021,54
rifabutin,voriconazole,"Rifabutin의 혈중농도 증가, Voriconazole의 농도 감소",20190131,2
bosutinib,rifampicin,Bosutinib의 혈중농도를 감소시켜 유효성을 감소시킬 수 있음,20250046,18
cyclosporine,ritonavir,"Cyclosporine의 혈중농도를 증가시키고 중대한 이상반응 초래할 수 있음. 병용투여할 경우, 면역억제제의 용량 조절 및 이상반응에 대한 면밀한 모니터링 권장됨",20250046,15
clopidogrel camsylate,nirmatrelvir,Clopidogrel 활성대사체의 농도를 감소시킬 수 있음,20250046,1
fluticasone,ritonavir,"Fluticasone의 혈중농도 증가로 쿠싱증후군 및 부신억제와 같은 전신 코르티코스테로이드 효과 나타날 수 있음. Salmeterol의 혈중농도 증가로 QT연장, 심계항진 등 심혈관계 이상반응 위험 증가",20250046,12
norepinephrine,procaterol,부정맥 또는 심정지,20100246,18
carbamazepine,ponatinib,Ponatinib의 노출 감소,20250086,20
pyrazinamide,tamoxifen,Tamoxifen의 혈장농도를 낮춤,20250086,7
paroxetine,pimozide,QT 간격 연장,20090300,25
haloperidol,perphenazine,QT간격 연장 위험 증가,20190131,24
dapagliflozin anhydrous lactose mixture,ethyl esters of the iodised fatty acids of poppyseed oil,기능적 신부전에 의해 유산 산성증 촉진,20200061,45
rilpivirine,sodium bicarbonate,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,20180088,67
ethyl esters of the iodised fatty acids of poppyseed oil,lobeglitazone,기능적 신부전에 의해 유산 산성증 촉진,20200061,30
haloperidol,pimozide,QT간격 연장 위험 증가,20190131,12
gliclazide,ioversol,기능성 신부전에 의한 유산산성증 촉진,20110188,10
domperidone,pilsicainide,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,34
carbamazepine,nanoliposomal irinotecan,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20250086,10
cabozantinib s-malate,carbamazepine,Cabozantinib의 혈장 노출 감소,20250086,30
ixazomib,rifampicin,Ixazomib의 효과 감소,20250086,24
brigatinib,rifampicin,Brigatinib의 혈장 농도를 감소시킬 수 있음,20250086,24
iodixanol,lobeglitazone,기능적 신부전에 의해 유산 산성증 촉진,20200061,120
haloperidol decanoate,moxifloxacin,QT간격 연장 위험 증가,20190131,11
elvitegravir,rivaroxaban,리바록사반의 혈중농도가 상승하여 출혈위험 증가,20150021,146
rifampicin,voriconazole,혈중농도가 저하되어 보리코나졸의 약물효과 감소,20070030,12
acitretin,doxycycline,두개내압 증가,20070030,8
irbesartan,pibrentasvir,횡문근융해증을 포함한 근육병증 위험 가능,20230083,4
adefovir dipivoxil,tenofovir alafenamide hemitartrate,신장청소율을 감소시켜 양쪽 약물 모두 혈장농도 상승,20110009,7
cilastatin,divalproex sodium particle,간질 발작 재발,20090300,7
hydroxyzine,mefloquine,심부정맥 위험 증가 가능,20180088,4
glecaprevir,metformin,횡문근융해증을 포함한 근육병증 위험 가능,20230083,9
etravirine,phenobarbital,에트라비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,20150021,3
pantoprazole,rilpivirine,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,20150021,43
bedaquiline,domperidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,17
naratriptan,sumatriptan,"상가적인 혈관수축반응, 현저한 혈압상승",20070068,42
lorlatinib,sirolimus,Sirolimus의 혈중농도가 감소될 수 있음,20240030,12
palbociclib,st john's wort 80% methanol ext,팔보시클립의 혈장 농도 감소,20180088,18
diphenylhydantoin,ritonavir,Nirmatrelvir+Ritonavir의 혈중농도가 현저히 감소하여 바이러스 반응의 손실 및 내성 발현의 잠재적인 가능성. CYP3A 유도제의 지연된 효과(offset)로 인해 Phenytoin 중단한 직후에는 Nirmatrelvir/Ritonavir 시작할 수 없음,20250046,3
nirmatrelvir,tolvaptan,"탈수, 저혈량증 및 고칼륨혈증의 가능성",20250046,4
carbamazepine,ritonavir,Nirmatrelvir+Ritonavir의 혈중농도가 현저히 감소하여 바이러스 반응의 손실 및 내성 발현의 잠재적인 가능성. CYP3A 유도제의 지연된 효과(offset)로 인해 Carbamazepine 중단한 직후에는 Nirmatrelvir/Ritonavir 시작할 수 없음,20250046,10
pimozide,ritonavir,"QT 연장, 심실성 빈맥, 심실세동 및 torsades de pointes 등 심독성위험 증가",20070030,2
imipenem,valproate,간질 발작 재발,20090300,21
evogliptin,iobitridol,기능적 신부전에 의해 유산 산성증 촉진,20200061,32
iobitridol,rosuvastatin,기능적 신부전에 의해 유산 산성증 촉진,20200061,48
alfacalcidol,burosumab,고인산혈증 발생 가능,20250086,123
domperidone,pentamidine isethionate,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,17
rifampicin,zanubrutinib,Zanubrutinib의 혈중농도를 감소시켜 유효성을 감소시킬 수 있음,20250046,6
haloperidol decanoate,levomepromazine,QT간격 연장 위험 증가,20190131,3
carbidopa,haloperidol decanoate,Levodopa의 치료효과 감소,20190131,21
nebivolol,sofosbuvir,횡문근융해증을 포함한 근육병증 위험 증가 가능,20230083,10
linezolid,safinamide,고혈압 위기,20250086,7
etravirine,venetoclax,CYP3A 유도제와의 병용은 Venetoclax의 노출을 감소시켜 결과적으로 효능 부족을 초래할 수 있음,20250086,3
cobicistat,phenobarbital,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,20190131,3
elvitegravir,triazolam,"Triazolam 혈중농도 증가, 진정 또는 호흡 억제의 연장 또는 증가",20190131,4
glecaprevir,valsartan,횡문근융해증을 포함한 근육병증 위험 가능,20230083,16
cobicistat,finerenone,Finerenone 혈중농도의 현저한 증가가 예상됨,20240030,6
finerenone,rifampicin,Finerenone 혈중농도의 현저한 감소 및 치료효과 감소가 예상됨,20240030,12
ledipasvir,olmesartan medoxomil,횡문근융해증을 포함한 근육병증 위험 증가 가능,20230083,20
fimasartan,pibrentasvir,횡문근융해증을 포함한 근육병증 위험 가능,20230083,6
lurasidone,st john's wort 80% methanol ext,Lurasidone의 노출을 감소시킬 수 있음,20250046,10
nifedipine,rifampicin,nifedipine의 혈장농도 저하,20080056,36
candesartan cilexetil,pibrentasvir,횡문근융해증을 포함한 근육병증 위험 가능,20230083,5
sildenafil,sodium nitroprusside,혈압강하작용 증강,20080056,91
hemocoagulase,thrombin,혈전형성,20100278,14
carbamazepine,lorlatinib,Lorlatinib의 혈중농도를 감소시킬 수 있음,20240030,20
palbociclib,posaconazole,팔보시클립의 혈장 농도 증가,20180088,18
everolimus,nirmatrelvir,Everolimus의 혈중농도를 증가시킬 수 있음,20250046,16
cobicistat,omeprazole,아타자나비르의 혈중농도 감소,20230045,40
capecitabine,tegafur,"해당 약물 병용 시 gimeracil에 의해 fluoropyrimidine 계열 약물의 대사가 감소하여 항암제의 독성이 증가, gimeracil/oteracil/tegafur 투여 중 및 종료 후 7일 간 해당 성분 투여 금기",20200130,20
epinephrine,salbutamol,부정맥 또는 심정지,20090300,27
cabotegravir sodium micronized,phenytoin,Cabotegravir의 혈중농도를 감소시켜 치료 효과를 감소시킬 수 있음,20240030,2
cabotegravir sodium micronized,diphenylhydantoin,Cabotegravir의 혈중농도를 감소시켜 치료 효과를 감소시킬 수 있음,20240030,3
haloperidol decanoate,hydroxyzine,심부정맥 위험 증가 가능,20180088,4
dronedarone,st john's wort 80% methanol ext,Dronedarone 노출량 감소,20250046,4
diltiazem,ivabradine,이바브라딘의 혈중농도 증가,20160155,20
dabigatran etexilate,ethambutol,다비가트란의 혈중농도 감소,20180088,2
isoniazid,ribociclib,강력한 CYP3A 유도제(Rifampicin)와의 병용투여는 건강한 시험대상자에서 Ribociclib의 혈장 노출을 89%까지 감소시킴,20250086,2
haloperidol,ribociclib,QT 간격 연장을 유발할 수 있음,20250086,12
carbamazepine,doravirine,Doravirine의 혈장 농도가 감소하여 Doravirine의 치료 효과가 줄어들 수 있음,20250086,20
alitretinoin,tetracycline,양성 두개내압 상승(가성뇌종양) 보고,20250046,17
nanoliposomal irinotecan,phenytoin,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20250086,2
cabozantinib s-malate,rifampicin,Cabozantinib의 혈장 노출 감소,20250086,24
agalsidase α,gentamicin,Gentamicin은 세포내 알파-갈락토시다제 활성을 저해할 가능성 있음,20250086,2
amlodipine,glecaprevir,횡문근융해증을 포함한 근육병증 위험 가능,20230083,65
iodixanol,saxagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,24
azithromycin,haloperidol decanoate,QT간격 연장 위험 증가,20190131,16
methylphenidate,safinamide,고혈압 위기,20250086,13
carbamazepine,pibrentasvir,Glecaprevir와 Pibrentasvir의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,20200130,10
modafinil,venetoclax,CYP3A 유도제와의 병용은 Venetoclax의 노출을 감소시켜 결과적으로 효능 부족을 초래할 수 있음,20250086,6
alfuzosin,elvitegravir,Alfuzosin 혈중농도 증가,20190131,18
emtricitabine,rifampicin,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,20190131,14
rifampicin,velpatasvir,소포스부비르 혈장 농도를 현저히 떨어트려 소포스부비르의 치료 효과를 감소시킬 수 있음,20240030,12
gemigliptin,ioversol,기능적 신부전에 의해 유산 산성증 촉진,20200061,50
metformin,posaconazole,"근육병증, 횡문근융해 위험 증가 가능",20230083,18
glibenclamide,ioversol,기능성 신부전에 의한 유산산성증 촉진,20110188,40
acitretin,isotretinoin,비타민A과다증,20250046,14
adefovir dipivoxil,tenofovir alafenamide,신장청소율을 감소시켜 양쪽 약물 모두 혈장농도 상승,20110009,21
irinotecan,phenobarbital,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20250086,57
alitretinoin,tigecycline,양성 두개내압 상승(가성뇌종양) 보고,20250046,34
lansoprazole,rilpivirine,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,20150021,52
carbamazepine,rilpivirine micronized,릴피비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,20240030,10
domperidone,fingolimod,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,17
irinotecan,phenytoin,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20250086,38
cyclosporine,lorlatinib,Cyclosporine의 혈중농도가 감소될 수 있음,20240030,30
ezetimibe,nirmatrelvir,"횡문근융해증을 포함하는 근육병증의 잠재적인 가능성. 이 약의 투여 시작으로부터 최소 12시간 전, 투여 중 5일동안 및 투여완료 후 5일동안 심바스타틴의 사용을 중단할 것",20210113,55
nirmatrelvir,tacrolimus,"Tacrolimus의 혈중농도를 증가시키고 중대한 이상반응 초래할 수 있음. 병용투여할 경우, 면역억제제의 용량 조절 및 이상반응에 대한 면밀한 모니터링 권장됨",20250046,30
norepinephrine,salbutamol,부정맥 또는 심정지,20100246,45
