원료명(I2710),매핑 성분,code,confidence
파크랜 크랜베리 분말(제2014-35호),크랜베리,cranberry,likely
닭가슴연골분말(UC-II)(제2014-39호),,,unmapped
오미자추출물(제2018-9호),,,unmapped
우슬 등 복합물(HL-Joint100)(제2018-13호),,,unmapped
시서스추출물(제2018-14호),시서스,cissus,likely
저분자콜라겐펩타이드NS(제2019-20호),콜라겐,collagen,likely
풋사과추출물 애플페논(Applephenon)(제2019-21호),,,unmapped
로즈마리자몽추출복합물(Nutroxsun)(제2019-25호),자몽,grapefruit,likely
석류농축분말(제2018-8호),,,unmapped
깻잎추출물(PF501)(제2019-3호),,,unmapped
Lactobacillus acidophilus YT1(제2019-22호),프로바이오틱스,probiotics,likely
리스펙타(Respecta®)[프로바이오틱스 등 복합물](제2019-26호),프로바이오틱스,probiotics,likely
그린커피빈주정추출물(제2018-6호),,,unmapped
미강주정추출물(제2018-3호),,,unmapped
수국잎열수추출물(제2020-7호),,,unmapped
풋사과추출물 애플페논(Applephenon)(제2021-6호),,,unmapped
모로오렌지추출분말(Morosil®)(제2021-7호),,,unmapped
감잎주정추출분말(제2022-18호),,,unmapped
크릴오일(FJH-KO)(제2022-41호),,,unmapped
가다랑어 엘라스틴 펩타이드(VGPG Elastin®)(제2022-38호),,,unmapped
크릴오일(SuperbaTM Boost)(제2023-13호),,,unmapped
옥수수수염·레몬밤추출복합물(CL-5MoA)(제2023-8호),,,unmapped
Bifidobacterium breve B-3 프로바이오틱스(제2023-2호),프로바이오틱스,probiotics,likely
저분자 피쉬 콜라겐 펩타이드 (Naticol® BPMG)(제2023-24호),콜라겐,collagen,likely
다이크로스타키스 글로메라타 추출물(DyglomeraⓇ)(제2023-9호),,,unmapped
L. curvatus HY7601와 L. plantarum KY1032의 프로바이오틱스 복합물(제2019-4호),프로바이오틱스,probiotics,likely
크릴오일등복합물(FlexPro MDⓇ)(제2022-39호),,,unmapped
Bacillus coagulans SNZ 1969 프로바이오틱스(제2023-34호),프로바이오틱스,probiotics,likely
삼백초추출물(LHF618)(제2023-31호),,,unmapped
콘드로이친 황산염(제2020-1호),콘드로이틴,chondroitin,likely
참나리추출분말(제2023-43호),,,unmapped
당귤농축분말(ROCH)(제2023-44호),,,unmapped
타마린드강황주정추출복합물(TamaFlexⓇ)(제2024-12호),,,unmapped
난각막가수분해물(NEM®)(제2024-9호),,,unmapped
기장밀추출복합물(KeranatTM)(제2024-16호),,,unmapped
보스웰리아추출물(제2024-15호),보스웰리아,boswellia,likely
팔밋올레산 함유 명태(알래스카폴락)유래 정제어유(제2024-18호),오메가-3,omega3,likely
오미자·두충·구기자추출복합물(제2024-13호),,,unmapped
정어리펩타이드 SP100N(제2004-1호),,,unmapped
자일리톨(제2004-2호),,,unmapped
참당귀뿌리추출물(제2004-6호),,,unmapped
포도종자추출물(제2005-9호),,,unmapped
카제인가수분해물(제2006-19호),,,unmapped
올리브잎주정추출물 EFLA943(제2006-25호),,,unmapped
솔잎증류농축액(제2007-8호),,,unmapped
콩발효추출물(제2007-10호),,,unmapped
돌외잎추출물(제2015-7호),,,unmapped
오미자추출물(제2016-21호),,,unmapped
레몬 밤 추출물 혼합분말(제2010-24호),,,unmapped
호로파종자 등 추출복합물(제2017-5호),,,unmapped
세리포리아 락세라타 균사체 배양물(제2018-5호),,,unmapped
Akkermansia muciniphila HB05 열처리배양건조물(HB05P)(제2025-72호),,,unmapped
저분자유청펩타이드(제2024-29호),,,unmapped
Weissella cibaria CMU 프로바이오틱스(제2026-2호),프로바이오틱스,probiotics,likely
미역석류씨추출복합물(잔티젠)(제2013-10호),,,unmapped
강황추출물(제2025-53호),커큐민,curcumin,likely
삽주추출분말(제2026-8호),,,unmapped
Latilactobacillus sakei LB-P12 프로바이오틱스(제2025-55호),프로바이오틱스,probiotics,likely
Latilactobacillus sakei K040706 열처리배양건조물(노바사케이)(제2026-10호),프로바이오틱스,probiotics,likely
Lacticaseibacillus paracasei subsp. paracasei 327(K-1) 열처리배양건조물(제2025-43호),프로바이오틱스,probiotics,likely
덖음귤피추출분말(JRC)(제2025-24호),,,unmapped
락토페린LF300(우유유래정제단백질)(제2023-38호),단백질,protein,likely
미배아발효분말(제2025-66호),,,unmapped
락추로스분말(제2009-40호),,,unmapped
강황추출물(제2025-54호),커큐민,curcumin,likely
Bacillus coagulans BC99 프로바이오틱스(제2026-5호),프로바이오틱스,probiotics,likely
Lacticaseibacillus paracasei HY7017 프로바이오틱스(제2025-69호),프로바이오틱스,probiotics,likely
마리골드꽃주정추출물(지아잔틴함유)(제2025-70호),지아잔틴,zeaxanthin,likely
아쉬아간다추출물(KSM-66®)(제2025-67호),아슈와간다,ashwagandha,likely
콘드로이친황산염(제2026-16호),콘드로이틴,chondroitin,likely
어린도두꼬투리추출물(제2025-60호),,,unmapped
Lactobacillus delbrueckii subsp. lactis CKDB001 프로바이오틱스(제2026-13호),프로바이오틱스,probiotics,likely
지초추출분말(제2025-52호),,,unmapped
나한과박추출분말(DKB131)(제2024-22호),,,unmapped
마키베리추출물(제2025-8호),,,unmapped
자색옥수수속대·포엽추출분말(제2026-18호),,,unmapped
하고초추출분말(제2026-21호),,,unmapped
Lactococcus lactis subsp. lactis CAB701 프로바이오틱스(제2026-1호),프로바이오틱스,probiotics,likely
